ItemNum,SubItemNum,ItemStartDate,ItemEndDate,Category,Group,SubGroup,SubHeading,ItemType,FeeType,ProviderType,NewItem,ItemChange,AnaesChange,DescriptorChange,FeeChange,EMSNChange,EMSNCap,BenefitType,BenefitStartDate,FeeStartDate,ScheduleFee,Benefit100,BasicUnits,EMSNStartDate,EMSNEndDate,EMSNFixedCapAmount,EMSNMaximumCap,EMSNPercentageCap,EMSNDescription,EMSNChangeDate,DescriptionStartDate,Description,QFEStartDate,QFEEndDate,DerivedFeeStartDate,DerivedFee,Benefit75,Benefit85,Anaes
54,,01.12.1989,,1,A2,1,1,S,N,,N,N,N,N,N,N,P,E,01.01.2005,01.12.1991,38.00,38.00,,01.11.2012,,,500.00,300.00,,,01.11.2019,"Professional attendance at consulting rooms of more than 25 minutes in duration but not more than 45 minutes (other than a service to which any other item applies)-each attendance, by: (a) a medical practitioner (who is not a general practitioner); or (b) a Group A1 disqualified general practitioner, as defined in the dictionary of the General Medical Services Table (GMST).",,,,,,,
57,,01.12.1989,,1,A2,1,1,S,N,,N,N,N,N,N,N,P,E,01.01.2005,01.12.1991,61.00,61.00,,01.11.2012,,,500.00,300.00,,,01.11.2023,"Professional attendance at consulting rooms lasting more than 45 minutes, but not more than 60 minutes (other than a service to which any other item applies) by:(a) a medical practitioner who is not a general practitioner; or(b) a Group A1 disqualified general practitioner",,,,,,,
58,,01.12.1989,,1,A2,1,2,S,D,,N,N,N,N,N,N,P,D,01.11.2000,,,,,01.01.2013,,,500.00,300.00,"300% of the Derived fee for this item, or $500, whichever is the lesser amount",,01.11.2019,"Professional attendance (other than an attendance at consulting rooms or a residential aged care facility or a service to which any other item in the table applies), not more than 5 minutes in duration-an attendance on one or more patients at one place on one occasion-each patient, by: (a) a medical practitioner (who is not a general practitioner); or (b) a Group A1 disqualified general practitioner, as defined in the dictionary of the General Medical Services Table (GMST).",,,01.11.2000,"An amount equal to $8.50, plus $15.50 divided by the number of patients seen, up to a maximum of six patients. For seven or more patients - an amount equal to $8.50 plus $.70 per patient",,,
59,,01.12.1989,,1,A2,1,2,S,D,,N,N,N,N,N,N,P,D,01.11.2000,,,,,01.01.2013,,,500.00,300.00,"300% of the Derived fee for this item, or $500, whichever is the lesser amount",,01.11.2019,"Professional attendance (other than an attendance at consulting rooms or a residential aged care facility or a service to which any other item in the table applies) of more than 5 minutes in duration but not more than 25 minutes-an attendance on one or more patients at one place on one occasion-each patient, by: (a) a medical practitioner (who is not a general practitioner); or (b) a Group A1 disqualified general practitioner, as defined in the dictionary of the General Medical Services Table (GMST).",,,01.11.2000,"An amount equal to $16.00, plus $17.50 divided by the number of patients seen, up to a maximum of six patients. For seven or more patients - an amount equal to $16.00 plus $.70 per patient",,,
60,,01.12.1989,,1,A2,1,2,S,D,,N,N,N,N,N,N,P,D,01.11.2000,,,,,01.01.2013,,,500.00,300.00,"300% of the Derived fee for this item, or $500, whichever is the lesser amount",,01.11.2019,"Professional attendance (other than an attendance at consulting rooms or a residential aged care facility or a service to which any other item in the table applies) of more than 25 minutes in duration but not more than 45 minutes-an attendance on one or more patients at one place on one occasion-each patient, by: (a) a medical practitioner (who is not a general practitioner); or (b) a Group A1 disqualified general practitioner, as defined in the dictionary of the General Medical Services Table (GMST).",,,01.11.2000,"An amount equal to $35.50, plus $15.50 divided by the number of patients seen, up to a maximum of six patients. For seven or more patients - an amount equal to $35.50 plus $.70 per patient",,,
65,,01.12.1989,,1,A2,1,2,S,D,,N,N,N,N,N,N,P,D,01.11.2000,,,,,01.01.2013,,,500.00,300.00,"300% of the Derived fee for this item, or $500, whichever is the lesser amount",,01.11.2023,"Professional attendance (other than an attendance at consulting rooms or a residential aged care facility or a service to which any other item in this Schedule applies) lasting more than 45 minutes but not more than 60 minutes —an attendance on one or more patients at one place on one occasion—each patient, by:(a) a medical practitioner who is not a general practitioner; or(b) a Group A1 disqualified general practitioner",,,01.11.2023,"An amount equal to $57.50, plus $15.50 divided by the number of patients seen, up to a maximum of six patients. For seven or more patients - an amount equal to $57.50 plus $0.70 per patient",,,
104,,01.11.1990,,1,A3,,,S,N,,N,Y,N,Y,Y,N,P,C,01.11.1990,01.07.2025,101.30,,,01.11.2012,,,500.00,300.00,,,01.07.2025,"Professional attendance at consulting rooms or hospital by a specialist in the practice of the specialist’s specialty after referral of the patient to the specialist—initial attendance in a single course of treatment, other than a service to which item 106, 109, 125 or 16401 applies",,,,,76.00,86.15,
105,,01.11.1990,,1,A3,,,S,N,,N,Y,N,Y,Y,N,P,C,01.11.1990,01.07.2025,50.95,,,01.11.2012,,,500.00,300.00,,,01.07.2025,"Professional attendance by a specialist in the practice of the specialist’s specialty following referral of the patient to the specialist—an attendance after the initial attendance in a single course of treatment, if that attendance is at consulting rooms or hospital, other than a service to which item 126 or 16404 applies",,,,,38.25,43.35,
106,,01.12.1991,,1,A3,,,S,N,,N,Y,N,N,Y,N,P,C,01.12.1991,01.07.2025,84.05,,,01.11.2012,,,500.00,300.00,,,01.11.2019,"Professional attendance by a specialist in the practice of the specialist's specialty of ophthalmology and following referral of the patient to the specialist-an attendance (other than a second or subsequent attendance in a single course of treatment) at which the only service provided is refraction testing for the issue of a prescription for spectacles or contact lenses, if that attendance is at consulting rooms or hospital (other than a service to which any of items 104, 109 and 10801 to 10816 applies)",,,,,63.05,71.45,
107,,01.11.1990,,1,A3,,,S,N,,N,Y,N,N,Y,N,P,C,01.11.1990,01.07.2025,148.65,,,01.11.2012,,,500.00,300.00,,,01.11.2019,"Professional attendance by a specialist in the practice of the specialist's specialty following referral of the patient to the specialist-an attendance (other than a second or subsequent attendance in a single course of treatment), if that attendance is at a place other than consulting rooms or hospital",,,,,111.50,126.40,
108,,01.11.1990,,1,A3,,,S,N,,N,Y,N,N,Y,N,P,C,01.11.1990,01.07.2025,94.10,,,01.11.2012,,,500.00,300.00,,,01.11.2019,"Professional attendance by a specialist in the practice of the specialist's specialty following referral of the patient to the specialist-each attendance after the first in a single course of treatment, if that attendance is at a place other than consulting rooms or hospital",,,,,70.60,80.00,
109,,01.05.2006,,1,A3,,,S,N,,N,Y,N,N,Y,N,P,C,01.05.2006,01.07.2025,228.30,,,01.11.2012,,,500.00,300.00,,,01.11.2019,"Professional attendance by a specialist in the practice of the specialist's specialty of ophthalmology following referral of the patient to the specialist-an attendance (other than a second or subsequent attendance in a single course of treatment) at which a comprehensive eye examination, including pupil dilation, is performed on: (a) a patient aged 9 years or younger; or (b) a patient aged 14 years or younger with developmental delay; (other than a service to which any of items 104, 106 and 10801 to 10816 applies)",,,,,171.25,194.10,
110,,01.02.1984,,1,A4,,,S,N,,N,Y,N,N,Y,N,P,C,01.03.1987,01.07.2025,178.70,,,01.11.2012,,,500.00,300.00,,,01.11.2019,"Professional attendance at consulting rooms or hospital, by a consultant physician in the practice of the consultant physician's specialty (other than psychiatry) following referral of the patient to the consultant physician by a referring practitioner-initial attendance in a single course of treatment",,,,,134.05,151.90,
111,,01.11.2017,,1,A3,,,S,N,,N,Y,N,Y,Y,N,P,C,01.11.2017,01.07.2025,50.95,,,01.11.2017,,,500.00,300.00,,,01.07.2025,"Professional attendance at consulting rooms or in hospital by a specialist in the practice of the specialist's specialty following referral of the patient to the specialist by a referring practitioner-an attendance after the first attendance in a single course of treatment, if: (a) during the attendance, the specialist determines the need to perform an operation on the patient that had not otherwise been scheduled; and (b) the specialist subsequently performs the operation on the patient, on the same day; and (c) the operation is a service to which an item in Group T8 applies; and (d) the amount specified in the item in Group T8 as the fee for a service to which that item applies is $349.95 or more For any particular patient, once only on the same day",,,,,38.25,43.35,
115,,01.04.2019,,1,A3,,,S,N,,N,Y,N,Y,Y,N,P,C,01.04.2019,01.07.2025,50.95,,,01.04.2019,,,500.00,300.00,,,01.07.2025,"Professional attendance at consulting rooms or in hospital on a day by a medical practitioner (the attending practitioner) who is a specialist or consultant physician in the practice of the attending practitioner’s specialty after referral of the patient to the attending practitioner by a referring practitioner—an attendance after the initial attendance in a single course of treatment, if: (a) the attending practitioner performs a scheduled operation on the patient on the same day; and (b) the operation is a service to which an item in Group T8 applies; and (c) the amount specified in the item in Group T8 as the fee for a service to which that item applies is $349.95 or more; and (d) the attendance is unrelated to the scheduled operation; and (e) it is considered a clinical risk to defer the attendance to a later day For any particular patient, once only on the same day",,,,,38.25,43.35,
116,,01.02.1984,,1,A4,,,S,N,,N,Y,N,N,Y,N,P,C,01.03.1987,01.07.2025,89.40,,,01.11.2012,,,500.00,300.00,,,01.11.2019,"Professional attendance at consulting rooms or hospital, by a consultant physician in the practice of the consultant physician's specialty (other than psychiatry) following referral of the patient to the consultant physician by a referring practitioner-each attendance (other than a service to which item 119 applies) after the first in a single course of treatment",,,,,67.05,76.00,
117,,01.11.2017,,1,A4,,,S,N,,N,Y,N,Y,Y,N,P,C,01.11.2017,01.07.2025,89.40,,,01.11.2017,,,500.00,300.00,,,01.07.2025,"Professional attendance at consulting rooms or in hospital, by a consultant physician in the practice of the consultant physician's specialty (other than psychiatry) following referral of the patient to the consultant physician by a referring practitioner-an attendance after the first attendance in a single course of treatment, if: (a) the attendance is not a minor attendance; and (b) during the attendance, the consultant physician determines the need to perform an operation on the patient that had not otherwise been scheduled; and (c) the consultant physician subsequently performs the operation on the patient, on the same day; and (d) the operation is a service to which an item in Group T8 applies; and (e) the amount specified in the item in Group T8 as the fee for a service to which that item applies is $349.95 or more For any particular patient, once only on the same day",,,,,67.05,76.00,
119,,22.12.1987,,1,A4,,,S,N,,N,Y,N,N,Y,N,P,C,22.12.1987,01.07.2025,50.95,,,01.11.2012,,,500.00,300.00,,,01.11.2019,"Professional attendance at consulting rooms or hospital, by a consultant physician in the practice of the consultant physician's specialty (other than psychiatry) following referral of the patient to the consultant physician by a referring practitioner-each minor attendance after the first in a single course of treatment",,,,,38.25,43.35,
120,,01.11.2017,,1,A4,,,S,N,,N,Y,N,Y,Y,N,P,C,01.11.2017,01.07.2025,50.95,,,01.11.2017,,,500.00,300.00,,,01.07.2025,"Professional attendance at consulting rooms or in hospital by a consultant physician in the practice of the consultant physician’s specialty (other than psychiatry) following referral of the patient to the consultant physician by a referring practitioner—minor attendance, if: (a) during the attendance, the consultant physician determines the need to perform an operation on the patient that had not otherwise been scheduled; and (b) the consultant physician subsequently performs the operation on the patient, on the same day; and (c) the operation is a service to which an item in Group T8 applies; and (d) the amount specified in the item in Group T8 as the fee for a service to which that item applies is $349.95 or more For any particular patient, once only on the same day",,,,,38.25,43.35,
122,,01.02.1984,,1,A4,,,S,N,,N,Y,N,N,Y,N,P,C,01.03.1987,01.07.2025,216.75,,,01.11.2012,,,500.00,300.00,,,01.11.2019,"Professional attendance at a place other than consulting rooms or hospital, by a consultant physician in the practice of the consultant physician's specialty (other than psychiatry) following referral of the patient to the consultant physician by a referring practitioner-initial attendance in a single course of treatment",,,,,162.60,184.25,
123,,01.11.2023,,1,A1,,,S,N,,N,Y,N,N,Y,N,P,E,01.11.2023,01.07.2025,202.65,202.65,,01.11.2023,,,500.00,300.00,,,01.11.2023,"Professional attendance by a general practitioner at consulting rooms (other than a service to which another item in this Schedule applies), lasting at least 60 minutes and including any of the following that are clinically relevant:(a) taking an extensive patient history;(b) performing a clinical examination;(c) arranging any necessary investigation;(d) implementing a management plan;(e) providing appropriate preventive health care;for one or more health related issues, with appropriate documentation",,,,,,,
124,,01.11.2023,,1,A1,,,S,D,,N,Y,N,N,Y,N,P,D,01.11.2024,,,,,01.11.2023,,,500.00,300.00,,,01.11.2023,"Professional attendance by a general practitioner (other than attendance at consulting rooms or a residential aged care facility or a service to which another item in this Schedule applies), lasting at least 60 minutes and including any of the following that are clinically relevant:(a) taking an extensive patient history;(b) performing a clinical examination;(c) arranging any necessary investigation;(d) implementing a management plan;(e) providing appropriate preventive health care;for one or more health related issues, with appropriate documentation—an attendance on one or more patients at one place on one occasion—each patient",,,01.07.2025,"The fee for item 123, plus $30.70 divided by the number of patients seen, up to a maximum of six patients. For seven or more patients - the fee for item 123 plus $2.45 per patient.",,,
125,,01.07.2025,,1,A3,,,S,N,,Y,N,N,N,N,N,P,C,01.07.2025,01.07.2025,178.70,,,01.07.2025,,,500.00,300.00,,,01.07.2025,"Professional attendance lasting at least 45 minutes at consulting rooms or hospital, by a specialist in the practice of the specialist’s specialty of gynaecology, following referral of the patient to the specialist by a referring practitioner—initial attendance in a single course of treatment, if: (a) the specialist takes a comprehensive history, including psychosocial history and medication review; and (b) the specialist undertakes any of the following that are clinically relevant: (i) a comprehensive multi-system physical examination; (ii) consideration of multiple complex diagnoses; (iii) discussion of all treatment options available; (iv) assessment of pros and cons of each treatment option given patient characteristics and medical history; (v) consideration, discussion and provision of necessary referrals for clinically appropriate investigations or treatment; (vi) communication of a patient-centred management plan; and (c) the specialist makes available to the patient or carer written documentation that outlines treatment options and information on associated risks and benefits; and (d) another attendance on the patient did not take place on the same day by the specialist in the same single course of treatment",,,,,134.05,151.90,
126,,01.07.2025,,1,A3,,,S,N,,Y,N,N,N,N,N,P,C,01.07.2025,01.07.2025,89.40,,,01.07.2025,,,500.00,300.00,,,01.07.2025,"Professional attendance lasting at least 45 minutes at consulting rooms or hospital, by a specialist in the practice of the specialist’s specialty of gynaecology, following referral of the patient to the specialist by a referring practitioner—an attendance after the initial attendance in a single course of treatment, if: (a) the specialist takes a comprehensive history, including psychosocial history and medication review; and (b) the specialist reviews implemented management strategies; and (c) the specialist undertakes any of the following that are clinically relevant: (i) update of management plan; (ii) performance of a physical examination; (iii) discussion of treatment options; (iv) consideration, discussion and provision of necessary referrals; (v) provision of appropriate education; and (d) the specialist makes available to the patient or carer written documentation that outlines treatment options and information on associated risks and benefits; and (e) another attendance on the patient did not take place on the same day by the specialist in the same single course of treatment",,,,,67.05,76.00,
127,,01.07.2025,,1,A3,,,S,N,,Y,N,N,N,N,N,P,B,01.07.2025,01.07.2025,178.70,,,01.07.2025,,,500.00,300.00,,,01.07.2025,"Video attendance lasting at least 45 minutes by a specialist in the practice of the specialist’s specialty of gynaecology, following referral of the patient to the specialist by a referring practitioner—initial attendance in a single course of treatment, if: (a) the specialist takes a comprehensive history, including psycho-social history and medication review; and (b) the specialist undertakes any of the following that are clinically relevant: (i) arranging for necessary investigations which may include a detailed physical examination; (ii) consideration of multiple complex diagnoses; (iii) discussion of all treatment options available; (iv) assessment of pros and cons of each treatment option given patient characteristics and medical history; (v) consideration, discussion and provision of necessary referrals for clinically appropriate investigations or treatment; (vi) communication of a patient-centred management plan; and (c) the specialist makes available to the patient or carer written documentation that outlines treatment options and information on associated risks and benefits; and (d) an attendance on the patient did not take place on the same day by the same specialist gynaecologist in the same single course of treatment.",,,,,,151.90,
128,,01.02.1984,,1,A4,,,S,N,,N,Y,N,N,Y,N,P,C,01.03.1987,01.07.2025,131.10,,,01.11.2012,,,500.00,300.00,,,01.11.2019,"Professional attendance at a place other than consulting rooms or hospital, by a consultant physician in the practice of the consultant physician's specialty (other than psychiatry) following referral of the patient to the consultant physician by a referring practitioner-each attendance (other than a service to which item 131 applies) after the first in a single course of treatment",,,,,98.35,111.45,
129,,01.07.2025,,1,A3,,,S,N,,Y,N,N,N,N,N,P,B,01.07.2025,01.07.2025,89.40,,,01.07.2025,,,500.00,300.00,,,01.07.2025,"Video attendance lasting at least 45 minutes by a specialist in the practice of the specialist’s speciality of gynaecology, following referral of the patient to the specialist by a referring practitioner - an attendance after the initial attendance in a single course of treatment if: (a) the specialist updates the patient’s comprehensive history, including psycho-social history and medication review; and (b) the specialist reviews implemented management strategies; and (c) the specialist undertakes any of the following that are clinically relevant: (i) update of management plan; (ii) arranging for necessary investigations which may include a detailed physical examination; (iii) discussion of treatment options; (iv) consideration, discussion and provision of necessary referrals; (v) provision of appropriate education; and (d) the specialist makes available to the patient or carer written documentation that outlines treatment options and information on associated risks and benefits; and (e) an attendance on the patient did not take place on the same day by the specialist for the same single course of treatment.",,,,,,76.00,
131,,22.12.1987,,1,A4,,,S,N,,N,Y,N,N,Y,N,P,C,22.12.1987,01.07.2025,94.45,,,01.11.2012,,,500.00,300.00,,,01.11.2019,"Professional attendance at a place other than consulting rooms or hospital, by a consultant physician in the practice of the consultant physician's specialty (other than psychiatry) following referral of the patient to the consultant physician by a referring practitioner-each minor attendance after the first in a single course of treatment",,,,,70.85,80.30,
132,,01.11.2007,,1,A4,,,S,N,,N,Y,N,Y,Y,N,P,C,01.11.2007,01.07.2025,312.45,,,01.11.2012,,,500.00,300.00,,,01.07.2025,"Professional attendance by a consultant physician in the practice of the consultant physician's specialty (other than psychiatry) lasting at least 45 minutes for an initial assessment of a patient with at least 2 morbidities (which may include complex congenital, developmental and behavioural disorders) following referral of the patient to the consultant physician by a referring practitioner, if: (a) an assessment is undertaken that covers: (i) a comprehensive history, including psychosocial history and medication review; and (ii) comprehensive multi or detailed single organ system assessment; and (iii) the formulation of differential diagnoses; and (b) a consultant physician treatment and management plan of significant complexity is prepared and provided to the referring practitioner, which involves: (i) an opinion on diagnosis and risk assessment; and (ii) treatment options and decisions; and (iii) medication recommendations; and (c) an attendance on the patient to which item 110, 116, 119, 91824, 91825, 91826 or 91836 applies did not take place on the same day by the same consultant physician; and (d) this item has not applied to an attendance on the patient in the preceding 12 months by the same consultant physician",,,,,234.35,265.60,
133,,01.11.2007,,1,A4,,,S,N,,N,Y,N,Y,Y,N,P,C,01.11.2007,01.07.2025,156.45,,,01.01.2013,,,500.00,300.00,,,01.07.2025,"Professional attendance by a consultant physician in the practice of the consultant physician’s specialty (other than psychiatry) lasting at least 20 minutes after the initial attendance in a single course of treatment for a review of a patient with at least 2 morbidities (which may include complex congenital, developmental and behavioural disorders) if: (a) a review is undertaken that covers: (i) review of initial presenting problems and results of diagnostic investigations; and (ii) review of responses to treatment and medication plans initiated at time of initial consultation; and (iii) comprehensive multi or detailed single organ system assessment; and (iv) review of original and differential diagnoses; and (b) the modified consultant physician treatment and management plan is provided to the referring practitioner, which involves, if appropriate: (i) a revised opinion on the diagnosis and risk assessment; and (ii) treatment options and decisions; and (iii) revised medication recommendations; and (c) an attendance on the patient to which item 110, 116, 119, 91824, 91825, 91826 or 91836 applies did not take place on the same day by the same consultant physician; and (d) item 132 applied to an attendance claimed in the preceding 12 months; and (e) the attendance under this item is claimed by the same consultant physician who claimed item 132 or a locum tenens; and (f) this item has not applied more than twice in any 12 month period",,,,,117.35,133.00,
135,,01.07.2008,,1,A29,,,S,N,,N,Y,N,N,Y,N,P,C,01.07.2008,01.07.2025,312.45,,,01.11.2012,,,500.00,300.00,,,01.03.2023,"Professional attendance lasting at least 45 minutes by a consultant physician in the practice of the consultant physician’s specialty of paediatrics, following referral of the patient to the consultant paediatrician by a referring practitioner, for a patient aged under 25, if the consultant paediatrician: (a) undertakes, or has previously undertaken in prior attendances, a comprehensive assessment in relation to which a diagnosis of a complex neurodevelopmental disorder (such as autism spectrum disorder) is made (if appropriate, using information provided by an eligible allied health provider); and (b) develops a treatment and management plan, which must include: (i) documentation of the confirmed diagnosis; and (ii) findings of any assessments performed for the purposes of formulation of the diagnosis or contribution to the treatment and management plan; and (iii) a risk assessment; and (iv) treatment options (which may include biopsychosocial recommendations); and (c) provides a copy of the treatment and management plan to: (i) the referring practitioner; and (ii) one or more allied health providers, if appropriate, for the treatment of the patient; (other than attendance on a patient for whom payment has previously been made under this item or item 137, 139, 289, 92140, 92141, 92142 or 92434) Applicable only once per lifetime",,,,,234.35,265.60,
137,,01.07.2011,,1,A29,,,S,N,,N,Y,N,N,Y,N,P,C,01.07.2011,01.07.2025,312.45,,,01.11.2012,,,500.00,300.00,,,01.03.2023,"Professional attendance lasting at least 45 minutes by a specialist or consultant physician (not including a general practitioner), following referral of the patient to the specialist or consultant physician by a referring practitioner, for a patient aged under 25, if the specialist or consultant physician: (a) undertakes, or has previously undertaken in prior attendances, a comprehensive assessment in relation to which a diagnosis of an eligible disability is made (if appropriate, using information provided by an eligible allied health provider); and (b) develops a treatment and management plan, which must include: (i) documentation of the confirmed diagnosis; and (ii) findings of any assessments performed for the purposes of formulation of the diagnosis or contribution to the treatment and management plan; and (iii) a risk assessment; and (iv) treatment options (which may include biopsychosocial recommendations); and (c) provides a copy of the treatment and management plan to: (i) the referring practitioner; and (ii) one or more allied health providers, if appropriate, for the treatment of the patient; (other than attendance on a patient for whom payment has previously been made under this item or item 135, 139, 289, 92140, 92141, 92142 or 92434) Applicable only once per lifetime",,,,,234.35,265.60,
139,,01.07.2011,,1,A29,,,S,N,,N,Y,N,N,Y,N,P,E,01.07.2011,01.07.2025,156.95,156.95,,01.11.2012,,,500.00,300.00,,,01.03.2023,"Professional attendance lasting at least 45 minutes, at a place other than a hospital, by a general practitioner (not including a specialist or consultant physician), for a patient aged under 25, if the general practitioner: (a) undertakes, or has previously undertaken in prior attendances, a comprehensive assessment in relation to which a diagnosis of an eligible disability is made (if appropriate, using information provided by an eligible allied health provider); and (b) develops a treatment and management plan, which must include: (i) documentation of the confirmed diagnosis; and (ii) findings of any assessments performed for the purposes of formulation of the diagnosis or contribution to the treatment and management plan; and (iii) a risk assessment; and (iv) treatment options (which may include biopsychosocial recommendations); and (c) provides a copy of the treatment and management plan to one or more allied health providers, if appropriate, for the treatment of the patient; (other than attendance on a patient for whom payment has previously been made under this item or item 135, 137, 289, 92140, 92141, 92142 or 92434) Applicable only once per lifetime",,,,,,,
